country_iso3,country_name,region,income_group
ABW,Aruba,Latin America & the Caribbean,High income
AFG,Afghanistan,"Middle East, North Africa, Afghanistan and Pakistan",Low income
AGO,Angola,Sub-Saharan Africa,Lower-middle income
ALB,Albania,Europe and Central Asia,Upper-middle income
AND,Andorra,Europe and Central Asia,High income
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan and Pakistan",High income
ARG,Argentina,Latin America & the Caribbean,Upper-middle income
ARM,Armenia,Europe and Central Asia,Upper-middle income
ASM,American Samoa,East Asia and Pacific,High income
ATG,Antigua and Barbuda,Latin America & the Caribbean,High income
AUS,Australia,East Asia and Pacific,High income
AUT,Austria,Europe and Central Asia,High income
AZE,Azerbaijan,Europe and Central Asia,Upper-middle income
BDI,Burundi,Sub-Saharan Africa,Low income
BEL,Belgium,Europe and Central Asia,High income
BEN,Benin,Sub-Saharan Africa,Lower-middle income
BFA,Burkina Faso,Sub-Saharan Africa,Low income
BGD,Bangladesh,South Asia,Lower-middle income
BGR,Bulgaria,Europe and Central Asia,High income
BHR,Bahrain,"Middle East, North Africa, Afghanistan and Pakistan",High income
BHS,"Bahamas, The",Latin America & the Caribbean,High income
BIH,Bosnia and Herzegovina,Europe and Central Asia,Upper-middle income
BLR,Belarus,Europe and Central Asia,Upper-middle income
BLZ,Belize,Latin America & the Caribbean,Upper-middle income
BMU,Bermuda,North America,High income
BOL,Bolivia,Latin America & the Caribbean,Lower-middle income
BRA,Brazil,Latin America & the Caribbean,Upper-middle income
BRB,Barbados,Latin America & the Caribbean,High income
BRN,Brunei Darussalam,East Asia and Pacific,High income
BTN,Bhutan,South Asia,Lower-middle income
BWA,Botswana,Sub-Saharan Africa,Upper-middle income
CAF,Central African Republic,Sub-Saharan Africa,Low income
CAN,Canada,North America,High income
CHE,Switzerland,Europe and Central Asia,High income
CHI,Channel Islands,Europe and Central Asia,High income
CHL,Chile,Latin America & the Caribbean,High income
CHN,China,East Asia and Pacific,Upper-middle income
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower-middle income
CMR,Cameroon,Sub-Saharan Africa,Lower-middle income
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income
COG,"Congo, Rep.",Sub-Saharan Africa,Lower-middle income
COL,Colombia,Latin America & the Caribbean,Upper-middle income
COM,Comoros,Sub-Saharan Africa,Lower-middle income
CPV,Cabo Verde,Sub-Saharan Africa,Upper-middle income
CRI,Costa Rica,Latin America & the Caribbean,High income
CUB,Cuba,Latin America & the Caribbean,Upper-middle income
CUW,Curacao,Latin America & the Caribbean,High income
CYM,Cayman Islands,Latin America & the Caribbean,High income
CYP,Cyprus,Europe and Central Asia,High income
CZE,Czechia,Europe and Central Asia,High income
DEU,Germany,Europe and Central Asia,High income
DJI,Djibouti,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
DMA,Dominica,Latin America & the Caribbean,Upper-middle income
DNK,Denmark,Europe and Central Asia,High income
DOM,Dominican Republic,Latin America & the Caribbean,Upper-middle income
DZA,Algeria,"Middle East, North Africa, Afghanistan and Pakistan",Upper-middle income
ECU,Ecuador,Latin America & the Caribbean,Upper-middle income
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
ERI,Eritrea,Sub-Saharan Africa,Low income
ESP,Spain,Europe and Central Asia,High income
EST,Estonia,Europe and Central Asia,High income
ETH,Ethiopia,Sub-Saharan Africa,Low income
FIN,Finland,Europe and Central Asia,High income
FJI,Fiji,East Asia and Pacific,Upper-middle income
FRA,France,Europe and Central Asia,High income
FRO,Faroe Islands,Europe and Central Asia,High income
FSM,"Micronesia, Fed. Sts.",East Asia and Pacific,Upper-middle income
GAB,Gabon,Sub-Saharan Africa,Upper-middle income
GBR,United Kingdom,Europe and Central Asia,High income
GEO,Georgia,Europe and Central Asia,Upper-middle income
GHA,Ghana,Sub-Saharan Africa,Lower-middle income
GIB,Gibraltar,Europe and Central Asia,High income
GIN,Guinea,Sub-Saharan Africa,Lower-middle income
GMB,"Gambia, The",Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,Sub-Saharan Africa,Lower-middle income
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper-middle income
GRC,Greece,Europe and Central Asia,High income
GRD,Grenada,Latin America & the Caribbean,Upper-middle income
GRL,Greenland,Europe and Central Asia,High income
GTM,Guatemala,Latin America & the Caribbean,Upper-middle income
GUM,Guam,East Asia and Pacific,High income
GUY,Guyana,Latin America & the Caribbean,High income
HKG,"Hong Kong SAR, China",East Asia and Pacific,High income
HND,Honduras,Latin America & the Caribbean,Lower-middle income
HRV,Croatia,Europe and Central Asia,High income
HTI,Haiti,Latin America & the Caribbean,Lower-middle income
HUN,Hungary,Europe and Central Asia,High income
IDN,Indonesia,East Asia and Pacific,Upper-middle income
IMN,Isle of Man,Europe and Central Asia,High income
IND,India,South Asia,Lower-middle income
IRL,Ireland,Europe and Central Asia,High income
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan and Pakistan",Upper-middle income
IRQ,Iraq,"Middle East, North Africa, Afghanistan and Pakistan",Upper-middle income
ISL,Iceland,Europe and Central Asia,High income
ISR,Israel,"Middle East, North Africa, Afghanistan and Pakistan",High income
ITA,Italy,Europe and Central Asia,High income
JAM,Jamaica,Latin America & the Caribbean,Upper-middle income
JOR,Jordan,"Middle East, North Africa, Afghanistan and Pakistan",Upper-middle income
JPN,Japan,East Asia and Pacific,High income
KAZ,Kazakhstan,Europe and Central Asia,Upper-middle income
KEN,Kenya,Sub-Saharan Africa,Lower-middle income
KGZ,Kyrgyz Republic,Europe and Central Asia,Lower-middle income
KHM,Cambodia,East Asia and Pacific,Lower-middle income
KIR,Kiribati,East Asia and Pacific,Lower-middle income
KNA,St. Kitts and Nevis,Latin America & the Caribbean,High income
KOR,"Korea, Rep.",East Asia and Pacific,High income
KWT,Kuwait,"Middle East, North Africa, Afghanistan and Pakistan",High income
LAO,Lao PDR,East Asia and Pacific,Lower-middle income
LBN,Lebanon,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
LBR,Liberia,Sub-Saharan Africa,Low income
LBY,Libya,"Middle East, North Africa, Afghanistan and Pakistan",Upper-middle income
LCA,St. Lucia,Latin America & the Caribbean,Upper-middle income
LIE,Liechtenstein,Europe and Central Asia,High income
LKA,Sri Lanka,South Asia,Upper-middle income
LSO,Lesotho,Sub-Saharan Africa,Lower-middle income
LTU,Lithuania,Europe and Central Asia,High income
LUX,Luxembourg,Europe and Central Asia,High income
LVA,Latvia,Europe and Central Asia,High income
MAC,"Macao SAR, China",East Asia and Pacific,High income
MAF,St. Martin (French part),Latin America & the Caribbean,High income
MAR,Morocco,"Middle East, North Africa, Afghanistan and Pakistan",Lower-middle income
MCO,Monaco,Europe and Central Asia,High income
MDA,Moldova,Europe and Central Asia,Upper-middle income
MDG,Madagascar,Sub-Saharan Africa,Low income
MDV,Maldives,South Asia,Upper-middle income
MEX,Mexico,Latin America & the Caribbean,Upper-middle income
